Module,Code,Question
GI,GI1,Name of country: 
GI,GI2,Name of province: 
GI,GI3,Name of district: 
GI,GI4,Name of interviewer:
GI,GI5,Name of district interviewee/respondent:
GI,GI6,Phone number of district interviewee/respondent
GI,GI7,Interview start time
GI,GI8,Interview end time 
AC,AC1,What is the population size of this district?
AC,AC2,"How many public health facilities are there in this district? (Include VMWs, health centers, provincial and district public hospitals.)"
AC,AC3,How many private hospitals are there in this district?
AC,AC4,How many Village Health Volunteers (VHVs) are there in this district?
AC,AC5,How are Village Health Volunteers (VHVs) compensated in your district?
AC,AC6,How many Village Malaria Workers (VMWs) are there in this district?
AC,AC7,How are Village Malaria Workers (VMWs) compensated in your district?
AC,AC8,Do Village Malaria Workers (VMWs) use malaria rapid diagnostic tests (RDTs) in your district?
AC,AC9,Why don't all Village Malaria Workers (VMWs) use RDTs?
AC,AC10,Do Village Malaria Workers (VMWs) provide artemisinin combination-based therapy (ACTs) for uncomplicated malaria in your district?
AC,AC11,Why don't all Village Malaria Workers (VMWs) use ACTs?
AC,AC12,Do Village Malaria Workers (VMWs) provide single low dose primaquine in your district?
AC,AC13,Why don't all Village Malaria Workers (VMWs) use primaquine?
AC,AC14,"What challenges, if any, do Village Malaria Workers (VMWs) face in providing high quality malaria care in your district?"
AC,AC15,Which types of health care facilities/workers provide radical cure of P. vivax malaria using primaquine in your district? 
AC,AC16,"What challenges, if any, does your district face in providing radical cure of P. vivax malaria using primaquine?"
WP,WP1,Does your district have an Emergency Operations Center (EOC)?
WP,WP2,Is your district Emergency Operations Center (EOC) currently involved in malaria work? 
WP,WP3,What malaria-related tasks does the Emergency Operations Center (EOC) support?
WP,WP4,Does your district have a Rapid Response Team (RRT)? 
WP,WP5,What malaria-related tasks does the Rapid Response Team (RRT) support? 
WP,WP6,Does your district have an overall work plan for malaria activities?
WP,WP7,Did your district use a planning tool or template provided by the national or provincial level to create the most recent malaria work plan? 
WP,WP8,Who is responsible for creating your district's malaria work plan(s)? 
WP,WP9,Who approves your district's malaria work plan(s)?
WP,WP10,Does your district track progress against targets/milestones on your malaria work plan?
WP,WP11,Approximately how often does your district assess progress against targets/milestones in the malaria work plan?
HR,HR1,How many total full-time staff work at this district office?
HR,HR2a,How many full-time District head of communicable disease are currently employed by your district office?
HR,HR2b,How many full-time District head of malaria are currently employed by your district office?
HR,HR2c,How many full-time  Communicable disease officer are currently employed by your district office?
HR,HR2d,How many full-time Malaria officer are currently employed by your district office?
HR,HR2e,How many full-time  Health management information system (HMIS)/surveillance are currently employed by your district office?
HR,HR2f,How many full-time  Entomologist are currently employed by your district office?
HR,HR2g,How many full-time  Indoor residual sprayer are currently employed by your district office?
HR,HR2h,"How many full-time  Information, education, communication (IEC) or behavior change communication (BCC) specialist are currently employed by your district office?"
HR,HR2i1Specify,Other type1 of Staff
HR,HR2i1,How many full-time  Others1 are currently employed by your district office?
HR,HR2i2Specify,Other type2 of Staff
HR,HR2i2,How many full-time  Others2 are currently employed by your district office?
HR,HR2j1Specify,Other type3 of Staff
HR,HR2j1,How many full-time  Others3 are currently employed by your district office?
HR,HR2j2Specify,Other type4 of Staff
